YEAR,GEOGRAPHY_CODE,GVA,JOBS,HOUSEHOLDS
2020,E07000008,197.36907765172236,3.145410917115214,58.2132332823761
2021,E07000008,249.2279226099754,3.855715734386365,60.233381262284205
2022,E07000008,302.2926269342097,4.5504666087042125,7.34984511902243
2023,E07000008,356.41568294233,5.228887641027441,-5.45269412535462
2024,E07000008,411.9635388958495,5.89720621593915,-20.4523833151338
2025,E07000008,472.73577457471947,6.627653052596699,-23.426533129506197
2026,E07000008,538.088549723303,7.399462256503938,-32.507121554924694
2027,E07000008,607.7784105053879,8.231871372120963,-40.776343306397
2028,E07000008,681.443453340964,9.099121436323728,-44.9610832059402
2029,E07000008,758.026774647733,9.981457032728983,-45.29415697750711
2030,E07000008,836.6081770346054,10.862126346898066,-42.9194882725491
2031,E07000008,925.089838904014,11.8663812224342,-48.02308801048039
2032,E07000008,1014.3529309681253,12.836477217988588,-51.482507447044
2033,E07000008,1107.9279361422105,13.833673665190076,-42.78253784669221
2034,E07000008,1205.6937334998802,14.853233727513455,-39.9654934265127
2035,E07000008,1307.781089750767,15.89242446010256,-39.7213082332391
2036,E07000008,1414.1288962582885,16.948516870564077,-41.4375813059605
2037,E07000008,1524.8731700016724,18.020785980747036,-38.3717005459697
2038,E07000008,1640.4035386452697,19.113510889526395,-38.7592960908486
2039,E07000008,1760.6179416372988,20.221974836605284,-36.0308818519333
2040,E07000008,1885.6500371321226,21.34646526735426,-35.865766149814206
2041,E07000008,2015.9867177605192,22.49227389870454,-36.6430244158116
2042,E07000008,2151.271399515941,23.6526967861125,-36.6430244158116
2043,E07000008,2291.898585814245,24.83003439161331,-36.6430244158116
2044,E07000008,2438.181802818409,26.027591652981968,-36.6430244158116
2045,E07000008,2590.7708361452815,27.25167805402056,-36.6430244158116
2046,E07000008,2749.3460746082765,28.494607695989288,-36.6430244158116
2047,E07000008,2914.168380175425,29.75769937020216,-36.6430244158116
2048,E07000008,3085.514306057732,31.04227663180474,-36.6430244158116
2049,E07000008,3263.5103037594545,32.34666787475568,-36.6430244158116
2050,E07000008,3448.182873099193,33.669206408030036,-36.6430244158116
2020,E07000012,324.8973482265146,4.515728384582147,4456.94420248963
2021,E07000012,444.8237423854689,6.0286414739188245,4419.320109150471
2022,E07000012,571.4940252573751,7.563889296247282,4519.56555990391
2023,E07000012,706.5633662654491,9.147164895970121,4509.69324297882
2024,E07000012,849.8668461057259,10.768220330512136,4507.003006901071
2025,E07000012,1004.2446485661512,12.471868783831724,4488.51967355318
2026,E07000012,1167.1359763879173,14.196986756325373,4482.20412714567
2027,E07000012,1344.9450383360409,16.064516333895583,4493.14588477834
2028,E07000012,1535.430426798789,18.01546753905187,4488.74376837738
2029,E07000012,1737.7792998477298,20.026920767019277,4472.78297143481
2030,E07000012,1951.1775128875452,22.078029309937264,4459.60498130596
2031,E07000012,2181.044130107759,24.22802197234229,4462.9763519545795
2032,E07000012,2422.888102450557,26.41020578124487,4458.03851391134
2033,E07000012,2680.224393353479,28.669968794231053,4450.7259425638895
2034,E07000012,2953.972273485617,31.009783009143078,4435.98032225377
2035,E07000012,3244.9105619441616,33.42720737902283,4426.60031626993
2036,E07000012,3554.013042486683,35.924890936136194,4432.98000974012
2037,E07000012,3882.1092685520753,38.502576029033236,4414.18143201573
2038,E07000012,4230.5323026765545,41.16610167674473,4412.753853024679
2039,E07000012,4599.999905106262,43.91340704436311,4399.722632408821
2040,E07000012,4991.486322039505,46.74453504441031,4386.0430936449
2041,E07000012,5406.502820254799,49.666636068554894,4396.97483839266
2042,E07000012,5845.730820509494,52.67497185440702,4396.97483839266
2043,E07000012,6310.837176611292,55.776919492289636,4396.97483839266
2044,E07000012,6803.385318613851,58.976975577065076,4396.97483839266
